number,incident_state,knowledge,vendor,product,country,summary
INC0012692,Active,False,Emerald,Frog,Israel,"Incident INC0012692 is currently active with a medium impact and urgency, resulting in a moderate priority level. The incident was opened on 29 March 2016 at 16:30 and resolved on 13 April 2016 at 16:41, then closed on 18 April 2016 at 16:13. The issue involves the product Frog from vendor Emerald and occurred in Israel. The service level agreement was met, and no knowledge article has been created."
INC0004687,Active,True,Sapphire,Peacock,Greece,"Incident INC0004687, related to the Peacock product from vendor Sapphire in Greece, was opened on 9 March 2016 and had medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on 17 May 2016, and closed on 22 May 2016. It remains active and knowledge documentation is available."
INC0007361,Closed,False,Ruby,LadyBug,Bolivia,"Incident INC0007361, related to the Ruby vendor's LadyBug product in Bolivia, was opened on 15 March 2016 and closed on 8 May 2016. It had a medium impact and urgency, with a moderate priority. The incident did not meet the SLA and was resolved by 3 May 2016. The incident is now closed."
INC0007184,Resolved,False,Emerald,Croc,Australia,"Incident INC0007184, related to the Emerald Croc product in Australia, was a medium impact and urgency issue with moderate priority. It was opened on 15/3/2016 at 11:00, resolved the same day by 14:20, and closed on 24/3/2016 at 19:01. The incident met the SLA and is now resolved."
INC0015443,Closed,False,Emerald,Frog,Chile,"Incident INC0015443, related to the Frog product from vendor Emerald in Chile, was opened on 5/4/2016 at 11:34 with a medium impact and urgency, assigned moderate priority. The incident was resolved quickly by 5/4/2016 at 11:51, met the SLA, and was closed on 10/4/2016 at 11:59. Knowledge documentation was not created."
INC0008648,Active,False,Emerald,Croc,Colombia,"Incident INC0008648, related to the Emerald Croc product in Colombia, was opened on 18/03/2016 with medium impact and urgency, and moderate priority. The incident was active and met its SLA, was resolved on 01/04/2016, and closed on 06/04/2016. No knowledge article was created."
INC0021391,New,False,Sapphire,Glaucus,Argentina,"Incident INC0021391 was opened on 20/4/2016 at 14:29 with a medium impact and high urgency, resulting in a high priority. The incident involved the Sapphire vendor and the Glaucus product in Argentina. It met the SLA, was resolved the same day by 19:25, and closed on 25/4/2016 at 20:07. The incident is currently in a new state, and no knowledge article was created."
INC0001370,New,True,Emerald,Frog,Kenya,"Incident INC0001370, affecting the Frog product by vendor Emerald in Kenya, was opened on 2nd March 2016 with medium impact and urgency, and a moderate priority. The incident met its SLA, was resolved on 23rd March 2016, and closed on 28th March 2016. The ticket is currently in a new state and has associated knowledge documentation."
INC0027789,Active,False,Sapphire,BlueJay,Norway,"Incident INC0027789, related to the Sapphire vendor's BlueJay product in Norway, was opened on 10/5/2016 and had a medium impact and urgency with moderate priority. The incident met its SLA, was resolved on 10/6/2016, and closed on 15/6/2016. It remains active and does not have an associated knowledge article."
INC0003213,Resolved,True,Ruby,Shrimp,Portugal,"Incident INC0003213, related to the Ruby vendor's Shrimp product in Portugal, was a medium-impact and medium-urgency issue with moderate priority. It was opened on July 3, 2016, and resolved by March 23, 2016, meeting the service level agreement. The incident was closed on March 28, 2016, and relevant knowledge documentation was created."
